['S_NAME', 'S_NATIONKEY']
('Supplier#000000001       ', Decimal('17'))
('Supplier#000000002       ', Decimal('5'))
('Supplier#000000003       ', Decimal('1'))
('Supplier#000000004       ', Decimal('15'))
('Supplier#000000005       ', Decimal('11'))
('Supplier#000000006       ', Decimal('14'))
('Supplier#000000007       ', Decimal('23'))
('Supplier#000000008       ', Decimal('17'))
('Supplier#000000009       ', Decimal('10'))
('Supplier#000000010       ', Decimal('24'))
('Supplier#000000011       ', Decimal('18'))
('Supplier#000000012       ', Decimal('8'))
('Supplier#000000013       ', Decimal('3'))
('Supplier#000000014       ', Decimal('15'))
('Supplier#000000015       ', Decimal('8'))
('Supplier#000000016       ', Decimal('22'))
('Supplier#000000017       ', Decimal('19'))
('Supplier#000000018       ', Decimal('16'))
('Supplier#000000019       ', Decimal('24'))
('Supplier#000000020       ', Decimal('3'))
('Supplier#000000021       ', Decimal('2'))
('Supplier#000000022       ', Decimal('4'))
('Supplier#000000023       ', Decimal('9'))
('Supplier#000000024       ', Decimal('0'))
('Supplier#000000025       ', Decimal('22'))
('Supplier#000000026       ', Decimal('21'))
('Supplier#000000027       ', Decimal('18'))
('Supplier#000000028       ', Decimal('0'))
('Supplier#000000029       ', Decimal('1'))
('Supplier#000000030       ', Decimal('16'))
('Supplier#000000031       ', Decimal('16'))
('Supplier#000000032       ', Decimal('23'))
('Supplier#000000033       ', Decimal('7'))
('Supplier#000000034       ', Decimal('10'))
('Supplier#000000035       ', Decimal('21'))
('Supplier#000000036       ', Decimal('13'))
('Supplier#000000037       ', Decimal('0'))
('Supplier#000000038       ', Decimal('4'))
('Supplier#000000039       ', Decimal('8'))
('Supplier#000000040       ', Decimal('22'))
('Supplier#000000041       ', Decimal('18'))
('Supplier#000000042       ', Decimal('22'))
('Supplier#000000043       ', Decimal('12'))
('Supplier#000000044       ', Decimal('7'))
('Supplier#000000045       ', Decimal('9'))
('Supplier#000000046       ', Decimal('24'))
('Supplier#000000047       ', Decimal('14'))
('Supplier#000000048       ', Decimal('14'))
('Supplier#000000049       ', Decimal('24'))
('Supplier#000000050       ', Decimal('9'))
('Supplier#000000051       ', Decimal('9'))
('Supplier#000000052       ', Decimal('19'))
('Supplier#000000053       ', Decimal('7'))
('Supplier#000000054       ', Decimal('12'))
('Supplier#000000055       ', Decimal('24'))
('Supplier#000000056       ', Decimal('16'))
('Supplier#000000057       ', Decimal('17'))
('Supplier#000000058       ', Decimal('16'))
('Supplier#000000059       ', Decimal('17'))
('Supplier#000000060       ', Decimal('8'))
('Supplier#000000061       ', Decimal('8'))
('Supplier#000000062       ', Decimal('19'))
('Supplier#000000063       ', Decimal('5'))
('Supplier#000000064       ', Decimal('24'))
('Supplier#000000065       ', Decimal('22'))
('Supplier#000000066       ', Decimal('23'))
('Supplier#000000067       ', Decimal('4'))
('Supplier#000000068       ', Decimal('21'))
('Supplier#000000069       ', Decimal('4'))
('Supplier#000000070       ', Decimal('6'))
('Supplier#000000071       ', Decimal('1'))
('Supplier#000000072       ', Decimal('18'))
('Supplier#000000073       ', Decimal('16'))
('Supplier#000000074       ', Decimal('20'))
('Supplier#000000075       ', Decimal('18'))
